"id","filename","ident","name","type","frequency_khz","latitude_deg","longitude_deg","elevation_ft","iso_country","dme_frequency_khz","dme_channel","dme_latitude_deg","dme_longitude_deg","dme_elevation_ft","slaved_variation_deg","magnetic_variation_deg","usageType","power","associated_airport"
85169,"Auckland_VOR-DME_NZ","AA","Auckland","VOR-DME",114800,-37.004600524902344,174.81399536132812,13,"NZ",114800,"095X",,,,19.011,19.282,"BOTH","HIGH","NZAA"
85181,"Ahmedabad_VOR-DME_IN","AAE","Ahmedabad","VOR-DME",113100,23.072200775146484,72.625,184,"IN",113100,"078X",,,,0.011,-0.099,"BOTH","HIGH","VAAH"
85184,"Aalborg_VOR-DME_DK","AAL","Aalborg","VOR-DME",116700,57.10369873046875,9.995579719543457,57,"DK",116700,"114X",57.1039,9.99281,57,1.008,0.589,"RNAV","HIGH","EKYT"
85186,"Arar_VORTAC_SA","AAR","Arar","VORTAC",113300,30.908000946044922,41.1422004699707,1811,"SA",113300,"080X",,,,2.007,3.355,"BOTH","HIGH","OERR"
85187,"Amritsar_VOR-DME_IN","AAR","Amritsar","VOR-DME",115500,31.706899642944336,74.80079650878906,752,"IN",115500,"102X",,,,2.011,1.28,"BOTH","HIGH","VIAR"
85188,"Agartala_VOR-DME_IN","AAT","Agartala","VOR-DME",116100,23.88960075378418,91.23970031738281,47,"IN",116100,"108X",,,,0.011,-0.302,"BOTH","HIGH","VEAT"
85189,"Aurangabad_VOR-DME_IN","AAU","Aurangabad","VOR-DME",116300,19.864700317382812,75.39409637451172,1908,"IN",116300,"110X",,,,-1.011,-0.464,"BOTH","HIGH","VAAU"
85202,"Aruba_VOR-DME_AW","ABA","Aruba","VOR-DME",112500,12.50979995727539,-69.9406967163086,59,"AW",112500,"072X",,,,-4.001,-9.37,"BOTH","HIGH","TNCA"
85204,"Nabb_VORTAC_US","ABB","Nabb","VORTAC",112400,38.58879852294922,-85.63600158691406,710,"US",112400,"071X",,,,1.001,-4.045,"LO","MEDIUM",
85205,"Abbeville_VOR-DME_FR","ABB","Abbeville","VOR-DME",108450,50.135101318359375,1.8546899557113647,223,"FR",108450,"021Y",,,,-3.007,-1.232,"BOTH","HIGH","LFOI"
85206,"Abuja_VOR-DME_NG","ABC","Abuja","VOR-DME",116300,9.037799835205078,7.285099983215332,1240,"NG",116300,"110X",,,,,-2.022,"BOTH","MEDIUM","DNAA"
85207,"Abadan_VOR-DME_IR","ABD","Abadan","VOR-DME",114500,30.386999130249023,48.21760177612305,10,"IR",114500,"092X",,,,3.001,3.069,"BOTH","HIGH","OIAA"
85210,"Abha_VORTAC_SA","ABH","Abha","VORTAC",112900,18.241899490356445,42.656898498535156,6862,"SA",112900,"076X",,,,1.007,2.111,"BOTH","HIGH","OEAB"
85211,"Abilene_VORTAC_US","ABI","Abilene","VORTAC",113700,32.481300354003906,-99.8635025024414,1810,"US",113700,"084X",,,,10.012,6.246,"BOTH","HIGH","KDYS"
85213,"Abakan_VOR-DME_RU","ABK","Abakan","VOR-DME",113300,53.744998931884766,91.38500213623047,830,"RU",113300,"080X",,,,4.007,4.192,"BOTH","HIGH","UNAA"
85217,"Albuquerque_VORTAC_US","ABQ","Albuquerque","VORTAC",113200,35.043800354003906,-106.81600189208984,5743,"US",113200,"079X",,,,13.001,9.551,"BOTH","HIGH",
85218,"Aberdeen_VOR-DME_US","ABR","Aberdeen","VOR-DME",113000,45.41740036010742,-98.36869812011719,1301,"US",113000,"077X",,,,7.001,5.316,"BOTH","HIGH",
85220,"Abu_Argub_VOR-DME_LY","ABU","Abu Argub","VOR-DME",115100,32.462799072265625,13.169400215148926,470,"LY",115100,"098X",,,,,1.291,"BOTH","HIGH","LY-0019"
85222,"Alexander_Bay_VOR-DME_ZA","ABV","Alexander Bay","VOR-DME",112100,-28.57069969177246,16.533899307250977,98,"ZA",112100,"058X",,,,-18.007,-19.183,"BOTH","HIGH","FAAB"
85227,"Acapulco_VOR-DME_MX","ACA","Acapulco","VOR-DME",115900,16.758499145507812,-99.75399780273438,13,"MX",115900,"106X",,,,8.007,6.192,"BOTH","HIGH","MMAA"
85228,"Accra_VOR-DME_GH","ACC","Accra","VOR-DME",113100,5.634109973907471,-0.15534399449825287,205,"GH",113100,"078X",,,,-7.009,-4.426,"BOTH","HIGH","DGAA"
85231,"Anton_Chico_VORTAC_US","ACH","Anton Chico","VORTAC",117800,35.111698150634766,-105.04000091552734,5450,"US",117800,"125X",,,,12.001,9.091,"BOTH","HIGH","US-11921"
85232,"Aracaju_VOR-DME_BR","ACJ","Aracaju","VOR-DME",112000,-10.984000205993652,-37.0713996887207,26,"BR",112000,"057X",,,,-22.007,-22.589,"BOTH","HIGH","SBAR"
85234,"Nantucket_VOR-DME_US","ACK","Nantucket","VOR-DME",116200,41.28179931640625,-70.02670288085938,100,"US",116200,"109X",,,,-15.001,-15.298,"BOTH","HIGH","KACK"
85235,"Akron_VOR-DME_US","ACO","Akron","VOR-DME",114400,41.1078987121582,-81.20149993896484,1200,"US",114400,"091X",,,,-4.004,-8.159,"LO","MEDIUM",
85238,"Waco_VORTAC_US","ACT","Waco","VORTAC",115300,31.66230010986328,-97.26899719238281,510,"US",115300,"100X",,,,9.008,4.574,"BOTH","HIGH",
85239,"Arcata_VOR-DME_US","ACV","Arcata","VOR-DME",110200,40.98139953613281,-124.10800170898438,193,"US",110200,"039X",,,,17.001,15.535,"LO","LOW","KACV"
85240,"Atlantic_City_VORTAC_US","ACY","Atlantic City","VORTAC",108600,39.45589828491211,-74.57630157470703,70,"US",108600,"023X",,,,-10.002,-12.268,"LO","MEDIUM","KACY"
85242,"Adelaide_VOR-DME_AU","AD","Adelaide","VOR-DME",116400,-34.9468994140625,138.5240020751953,32,"AU",116400,"111X",,,,7.007,8.07,"BOTH","HIGH","YPAD"
85243,"Abidjan_VOR-DME_CI","AD","Abidjan","VOR-DME",114300,5.282810211181641,-3.9170000553131104,30,"CI",114300,"090X",,,,-7.003,-6.003,"BOTH","HIGH","DIAP"
85256,"Aldeia_VOR-DME_BR","ADA","Aldeia","VOR-DME",112100,-22.81279945373535,-42.095298767089844,61,"BR",112100,"058X",,,,,-22.048,"BOTH","HIGH","SBES"
85257,"Adana_VOR-DME_TR","ADA","Adana","VOR-DME",112700,36.94060134887695,35.21030044555664,49,"TR",112700,"074X",,,,3.007,4.175,"BOTH","HIGH","LTAF"
85263,"Ada_VOR-DME_US","ADH","Ada","VOR-DME",117800,34.8026008605957,-96.67009735107422,987,"US",117800,"125X",,,,6.001,4.33,"LO","LOW",
85265,"Sochi_VOR-DME_RU","ADL","Sochi","VOR-DME",112700,43.40330123901367,39.948299407958984,36,"RU",112700,"074X",,,,5.006,5.527,"BOTH","HIGH","URSS"
85266,"Ardmore_VORTAC_US","ADM","Ardmore","VORTAC",116700,34.21160125732422,-97.16829681396484,925,"US",116700,"114X",,,,6.003,4.523,"BOTH","HIGH",
85267,"Agadir_VOR-DME_MA","ADM","Agadir","VOR-DME",117200,30.3218994140625,-9.383330345153809,295,"MA",117200,"119X",,,,-5.007,-3.548,"BOTH","HIGH","GMAD"
85268,"Roberto_VOR-DME_MX","ADN","Roberto","VOR-DME",115400,25.865400314331055,-100.23899841308594,1476,"MX",115400,"101X",,,,7.004,6.258,"BOTH","HIGH","MMAN"
85269,"Aberdeen_VOR-DME_GB","ADN","Aberdeen","VOR-DME",114300,57.31060028076172,-2.2672200202941895,600,"GB",114300,"090X",,,,-5.001,-4.148,"BOTH","HIGH","EGPD"
85271,"Adrar_VOR-DME_DZ","ADR","Adrar","VOR-DME",112600,27.816999435424805,-0.2058670073747635,920,"DZ",112600,"073X",,,,,-1.172,"BOTH","LOW","DAUA"
85273,"Addis_Abeba_VOR-DME_ET","ADS","Addis Abeba","VOR-DME",112900,8.975040435791016,38.799400329589844,7656,"ET",112900,"076X",,,,,1.393,"BOTH","HIGH","HAAB"
85276,"Andrews_VORTAC_US","ADW","Andrews","VORTAC",113100,38.80720138549805,-76.86620330810547,260,"US",113100,"078X",,,,-10.005,-10.463,"LO","MEDIUM","KADW"
85278,"Abeche_VOR_TD","AE","Abeche","VOR",114500,13.845100402832031,20.844999313354492,1804,"TD",,,,,,,1.03,"BOTH","HIGH","FTTC"
85282,"Albert_Lea_VOR-DME_US","AEL","Albert Lea","VOR-DME",109800,43.681800842285156,-93.37079620361328,1265,"US",109800,"035X",,,,5.001,1.315,"TERMINAL","LOW",
85284,"Alexandria_VORTAC_US","AEX","Alexandria","VORTAC",116100,31.25670051574707,-92.5009994506836,80,"US",116100,"108X",,,,3.009,2.012,"BOTH","HIGH",
85289,"Affligem_VOR-DME_BE","AFI","Affligem","VOR-DME",114900,50.907798767089844,4.138889789581299,284,"BE",114900,"096X",,,,-2.01,-0.416,"TERMINAL","HIGH","EBBR"
85302,"Allegheny_VOR-DME_US","AGC","Allegheny","VOR-DME",110000,40.27870178222656,-80.04090118408203,1290,"US",110000,"037X",,,,-9.004,-8.553,"LO","MEDIUM",
85304,"Agra_VOR-DME_IN","AGG","Agra","VOR-DME",112000,27.150699615478516,77.94750213623047,551,"IN",112000,"057X",,,,0.011,0.219,"BOTH","MEDIUM","VIAG"
85306,"Anchialos_VOR-DME_GR","AGH","Anchialos","VOR-DME",110400,39.21620178222656,22.791900634765625,65,"GR",110400,"041X",,,,0.011,3.164,"BOTH","MEDIUM","LGBL"
504648,"Gooch Springs_VORTAC_US","AGJ","Gooch Springs","VORTAC",112500,31.185,-98.141,1191,"US",,,,,,,,"HI","HIGH",
85308,"Agen_VOR-DME_FR","AGN","Agen","VOR-DME",114800,43.88800048828125,0.8728610277175903,868,"FR",114800,"095X",,,,-2.007,-1.062,"BOTH","HIGH",
85310,"Aguascalientes_VOR-DME_MX","AGU","Aguascalientes","VOR-DME",113600,21.71139907836914,-102.31900024414062,6112,"MX",113600,"083X",,,,8.001,7.097,"BOTH","HIGH","MMAS"
85312,"Aggeneys_VOR-DME_ZA","AGV","Aggeneys","VOR-DME",116700,-29.48110008239746,18.5625,3356,"ZA",116700,"114X",,,,,-20.1,"BOTH","HIGH",
85313,"Acarigua_VOR-DME_VE","AGV","Acarigua","VOR-DME",113400,9.554750442504883,-69.23619842529297,640,"VE",113400,"081X",,,,-6.007,-9.393,"BOTH","HIGH","SVAC"
85315,"Ayaguz_VOR_KZ","AGZ","Ayaguz","VOR",113600,47.93109893798828,80.44969940185547,,"KZ",,,,,,,5.555,"BOTH","HIGH",
85319,"Amedee_VOR-DME_US","AHC","Amedee","VOR-DME",109000,40.26789855957031,-120.1520004272461,4028,"US",109000,"027X",,,,17.001,15.017,"TERMINAL","LOW",
85321,"Athens_VORTAC_US","AHN","Athens","VORTAC",109600,33.947601318359375,-83.32479858398438,790,"US",109600,"033X",,,,0.001,-4.57,"BOTH","MEDIUM","KAHN"
85333,"Alliance_VOR-DME_US","AIA","Alliance","VOR-DME",111800,42.055599212646484,-102.80400085449219,3925,"US",111800,"055X",,,,11.001,8.342,"LO","MEDIUM",
85338,"Bellaire_VOR-DME_US","AIR","Bellaire","VOR-DME",117100,40.016998291015625,-80.81729888916016,1290,"US",117100,"118X",,,,-7.01,-8.152,"BOTH","HIGH",
85348,"Awaji_VOR-DME_JP","AJE","Awaji","VOR-DME",115600,34.270301818847656,134.71299743652344,884,"JP",115600,"103X",,,,-7.011,-6.56,"BOTH","LOW",
85349,"Al_Jouf_VORTAC_SA","AJF","Al Jouf","VORTAC",117800,29.788999557495117,40.07419967651367,2261,"SA",117800,"125X",,,,,3.29,"BOTH","HIGH","OESK"
